season,home_team,away_team,home_score,away_score,location
2018,Charlotte,Coll of Charleston,72,81,1
2018,Detroit Mercy,Seattle,71,102,1
2018,Bryant,Navy,71,79,1
2018,Louisiana Tech,Montana St,71,58,1
2018,Hartford,LIU-Brooklyn,84,86,0
2018,WI-Milwaukee,Florida Intl,66,29,1
2018,Boston College,Texas Tech,64,75,0
2018,Georgetown,MD-Eastern Shore,83,57,1
2018,Northern Iowa,Chicago St,82,44,1
2018,VMI,Presbyterian,78,58,1
2018,Stetson,SIU-Edwardsville,76,80,1
2018,Manhattan,Harvard,73,69,1
2018,UCF,William & Mary,75,64,1
2018,Butler,Furman,82,65,1
2018,High Point,Citadel,77,79,1
2018,Eastern Michigan,Howard,76,66,1
2018,SC-Upstate,Charleston Southern,72,82,1
2018,La Salle,Northwestern,74,82,0
2018,Longwood,St Francis-PA,56,83,1
2018,Seton Hall,NJIT,82,53,1
2018,IL-Chicago,IPFW,51,67,1
2018,Evansville,Binghamton,66,61,1
2018,St Bonaventure,Jackson St,72,58,1
2018,Mt St Marys,North Florida,84,81,1
2018,Maine,South Alabama,46,68,0
2018,Texas St,TX-Rio Grande,75,58,1
2018,Bowling Green,FL-Gulf Coast,83,80,1
2018,UC-Riverside,Portland St,82,94,1
2018,Jacksonville,North Carolina A&T,82,90,1
2018,Purdue,Fairfield,106,64,1
2018,South Dakota,Grambling St,84,55,1
2018,Akron,TN-Martin,76,59,1
2018,Toledo,Oakland,87,74,1
2018,Wright St,Murray St,61,80,1
2018,Tennessee Tech,Kennesaw St,82,68,1
2018,Marist,Army,73,94,1
2018,Canisius,Youngstown St,104,84,1
2018,NC-Wilmington,Campbell,88,84,1
2018,Sacred Heart,St Peters,61,70,0
2018,SMU,AR-Pine Bluff,72,37,1
2018,Utah Valley St,UC-Davis,80,71,1
2018,BYU,TX-Arlington,75,89,1
2018,Pacific,Nevada,74,89,1
2018,San Diego,Norfolk St,71,62,1
2018,Santa Clara,Cal Poly,59,63,1
2018,Idaho,Sam Houston St,63,54,1
2018,Grand Canyon,AR-Little Rock,76,51,1
2018,Tennessee St,Middle Tenn St,65,75,1
2018,UTSA,Bradley,69,71,0
2018,Drake,Colorado,81,86,0
2018,Liberty,Houston,66,68,0
2018,Drexel,Mercer,59,78,0
2018,Iona,Northern Kentucky,72,85,0
2018,Coastal Carolina,Vermont,67,80,0
2018,Quinnipiac,Wake Forest,55,72,0
2018,James Madison,Weber St,65,73,0
2018,Colorado St,Florida St,73,90,0
2018,Loyola Marymount,McNeese St,92,86,1
2018,Georgia,Texas A&M-CC,68,65,1
2018,Florida,New Hampshire,70,63,1
2018,Wofford,North Florida,86,83,1
2018,Loyola-Chicago,Samford,88,67,1
2018,Western Kentucky,Nicholls St,100,86,1
2018,Duquesne,Robert Morris,59,66,1
2018,UMass,Niagara,101,76,1
2018,Kent St,Miss Valley St,80,67,1
2018,Miami-OH,Hartford,58,68,0
2018,Maine,Sacred Heart,68,69,0
2018,Austin Peay,NC-Asheville,79,82,1
2018,Rutgers,Coppin St,64,39,1
2018,Virginia,Monmouth,73,53,1
2018,Rhode Island,Holy Cross,88,66,1
2018,St Francis-NY,Brown,77,74,1
2018,MA-Lowell,Cornell,98,78,1
2018,Georgia Tech,Bethune-Cookman,65,62,1
2018,Nebraska,North Dakota,92,70,1
2018,Ohio St,Northeastern,80,55,1
2018,Arizona St,UC-Irvine,99,78,1
2018,Central Arkansas,Alcorn St,102,76,1
2018,Colgate,UMBC,93,88,1
2018,WI-Milwaukee,Elon,72,71,1
2018,Michigan St,Stony Brook,93,71,1
2018,Lamar,Cal St-Bakersfield,73,85,1
2018,SE Louisiana,Valparaiso,50,83,0
2018,Minnesota,Western Carolina,92,64,1
2018,Illinois,Marshall,91,74,1
2018,Indiana,South Florida,70,53,1
2018,UConn,Boston U,85,66,1
2018,Fordham,Tulane,55,63,0
2018,San Jose St,St Marys,61,79,1
2018,Vanderbilt,USC,89,93,1
2018,Oregon,Ball St,95,71,1
2018,UTEP,Appalachian St,72,76,0
2018,Hofstra,Auburn,78,89,0
